id,name,thread 
755,Page 28,"I met this nurse...Lisa.It's like I was there, but not really.It's all a blur. Like some kind of hallucination, you know?"""
756,Page 29,"""I have no idea what you're talking about, Harry.""Cybil spoke while shaking her head from side to side.""Oh... I was just wondering.Never mind.""""Harry, you're tired.""""Yeah, maybe..."""
757,Page 30,"Am I tired?Yes, I am tired.If that is all it is then that is fine.If my being tired is what caused me to see all the hallucinations up to thispoint then Cheryl should return to me."
758,Page 31,The only thing is the sensation I am feeling is not that of being tired.Rather my body feels as if I have been on the floor sleeping continuouslylike a human in cold sleep.And I am feeling the agonizing suffering of not easily being able toescape from that state.
759,Page 32 (Black),Leaving me behind Cybil steps into the passage.I can no longer see her from where I am at.
760,Go to 10-21,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                 10-1モニターの中のシェリル                                   (Gigastore storefront)Chapter 10   ""Town Center""Cheryl appears on the monitors"
761,"Page 1　(Nightmare town, snow falls)",The town has turned into that nightmarish world.It's as if the danger in this town increases with every second.In order to find Lisa I turn on the flashlight on my chest and begin torun at full speed.
762,Page 2,"I left the antique shop with the intention of reuniting with Lisa, but Idiscover that all the roads leading to the hospital are blocked.With no other choice I enter the shopping mall ""Town Center"" in the shoppingdistrict.第十章　「タウンセンター」「廃墟ビルのように」Chapter 10   ""Town Center""The building appears to be in ruins"
763,Page 3 (Gigastore storefront),"Inside everything has naturally changed to the otherworld as well.I can hear the groans of monsters in the vicinity, and it would not besurprising if they attacked at any moment.The floor has changed to metal grating, and this building looks as if it hasbeen left in ruins for several hundred years."
764,Page 4,"Large monitors have been placed in the hall at the entrance to greet shoppers.After wandering around the first floor and finding nothing interesting I beginheading up the powered down escalator. And at that moment...第十章　「タウンセンター」「ホールのモニター」Chapter 10   ""Town Center""The monitors in the hall"
765,"Page 5 (Image of Cheryl, animated static)",Suddenly light overflows from out of the monitors in the hall.A bound Cheryl is displayed on the screens.
766,Page 6,"""Daddy...Help me!""""Cheryl!"""
767,Page 7,"I turn around and run back down the escalator toward the first floor hall.The image of Cheryl on the monitors then begins to get more and more fuzzy,until it dissolves into video static on the picture tube."
768,Page 8,"And then, in place of Cheryl an eerie crest is displayed.It...looked a lot like ""that"" which I saw in the courtyard of the elementary school."
769,Page 9,"I pound on the monitors.I pound with all my strength, as if I believed that Cheryl is trapped insidethe picture tube.However, Cheryl's image did not appear again."
770,Page 10 (Black),"I am convinced.Cheryl was definitely taken away by someone and is being held by them, and sheis waiting for me to rescue her.I must hurry, I say to myself."
771,Go to 10-2,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                 10-2どこから…                                               (Gigastore storefront)Chapter 10   ""Town Center""From where..."
772,Page 1　(Black),All right...A ) Search the second floor.
773,Go to 10-3,B ) Search the first floor.
774,Go to 10-4,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                 10-3２階を探索                                               (Gigastore storefront)Chapter 10   ""Town Center""Searching the second floor"
775,Page 1　(Black),"The second floor is more brutal that first, and is completely deserted.However, I am paying attention.I can hear a sound like a liquid substance splashing from somewhere."
776,Page 2,I can sense that something that is not human is there.I turn toward the direction of the noise and began to run.And then I discover the source of the noise.As soon as I step there...The section of the floor that I was standing on gives way and falls with meon top of it.I scream almost right away.
777,Page 3,"Although I just fell one floor strangely enough I am not hurt.The floor of the somewhat wide room is sandy, and it is most certainly whatcushioned my fall."
778,Go to 10-5,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                 10-4１階を探索                                               (Gigastore storefront)Chapter 10   ""Town Center""Searching the first floor"
779,Page 1　(Black),Instead of going up to the second floor I decided to check out the first floor.
780,Page 2,"Dilapidated department stores can be seen through the metal gratings.Everything is scattered about, and a giant spider web bigger than any I haveever seen stretches throughout the area."
781,Page 3,"I walked along the fence that bordered the first floor.After passing by a show window with mannequins, I came to a walled-off space."
782,Page 4,"Sand is spread all over the open area inside, and it is lit by incandescentlight from above. At first glance I thought it was outside.There appears to be a high ceiling that can not be seen so well in the dark."
783,Page 5,There is a circular hole in one of the metal gratings that surrounds the area.From there I can enter the area.
784,Page 6,I bent down and stepped into the walled-off area.Upon moving in just a bit I find...a rifle.
785,Go to 10-5,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                 10-5獰猛な牙を持つ芋虫                                  (Sandy area in Town Center)Chapter 10   ""Town Center""A caterpillar with fierce tusks"
786,Page 1 (Sandy area in Town Center),"I pick up the rifle at my feet and try readying it.As I do so an unspeakably unpleasant tremor comes from below me, and it shakesmy entire body."
787,Page 2,"It is not something that I can see.I decide this because I felt it only from below me. I can clearly tell thatsomething with a long body, like a caterpillar, is moving around below me."
788,Page 3,As I move it moves in the same direction. So it is obvious that it is aimingfor me as it moves.And then it shows itself.
789,"Page 4 (Twin Feeler, animated)","It is a giant caterpillar about 5 meters long.It sprays a green liquid from its fierce tusk-covered mouth. I can tell thatthe liquid is poisonous just from looking at it.And that it is definitely being discharged towards me.第十章　「タウンセンター」「ライフルを入手」Chapter 10   ""Town Center""Acquiring the rifle"
790,Page 5,"I did not dodge it in time, so some of that liquid got on my arm.The pain is sharp.Red is rising up where the poisonous liquid got on me, as it is dissolvingthe components of my skin."
791,Go to 10-6,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                 10-6最善の選択は？                                      (Sandy area in Town Center)Chapter 10   ""Town Center""My best option is?"
792,"Page 1 (Twin Feeler, animated)",Damn...!A ) Fire the rifle.
793,Go to 10-7,B ) Run.
794,Go to 10-8,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                 10-7ライフルを撃つハリー                                (Sandy area in Town Center)Chapter 10   ""Town Center""Harry fires the rifle"
795,"Page 1 (Twin Feeler, animated)",I am in danger now.I once again ready the rifle that I just picked up.And then I rain bullets into the creature that has appeared above ground.
796,Page 2,"Green fluid began to leak from its abdomen, so it twisted its large bodyand once again burrowed underground."
797,Page 3,A steel plate is conveniently lying in the middle of the area.If I can just get on top of it then I should be able to avoid direct attack...
798,Go to 10-9,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                 10-8逃げるが得策とハリー                                (Sandy area in Town Center)Chapter 10   ""Town Center""Harry decides that it is best to run away"
799,"Page 1 (Twin Feeler, animated)",I've got to escape.I turned around.The only thing I am satisfied with is getting a hold of the rifle.
800,Page 2,But I cannot find the hole in the fence that I just came through.Odd.
801,Page 3,"I begin to run.However, it pursues me from under the ground with unthinkable speed.The tremors at my feet gradually get stronger and stronger."
802,Page 4,I fling my self to a stop and notice a steel plate lying in front of me.
803,Go to 10-9,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                 10-9一瞬の迷い                                          (Sandy area in Town Center)Chapter 10   ""Town Center""A moment of hesitation"
804,"Page 1 (Twin Feeler, animated)",However...
805,Go to 10-10,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                10-10揺れる戦略                                          (Sandy area in Town Center)Chapter 10   ""Town Center""A shaky strategy"
806,"Page 1 (Twin Feeler, animated)",I...A ) move onto the steel plate.
807,Go to 10-11,B ) stay where I am...
808,Go to 10-12,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                10-11鉄板の上へ移動するハリー                            (Sandy area in Town Center)Chapter 10   ""Town Center""Harry moves onto the steel plate"
809,"Page 1 (Twin Feeler, animated)",After moving onto the steel plate I discovered one problem with doing so.I can no longer tell where it is coming from.
810,Page 2,I can only go with my intuition.Just where it is going to appear from...
811,Go to 10-13,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                10-12そのままの位置で戦う                                (Sandy area in Town Center)Chapter 10   ""Town Center""Harry fights where he was standing"
812,"Page 1 (Twin Feeler, animated)","I will not move from this position.The steel plate looks like it would be safe; however, I would not be able tosense its movements below me if I moved on top of it.I judged that staying in this position is best for attacking."
813,Page 2,Finally...It is about to rise above the ground again.Just where is it going to appear from...
814,Go to 10-17,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                10-13見えざる敵の気配                                    (Sandy area in Town Center)Chapter 10   ""Town Center""A sign of the unseen enemy"
815,"Page 1 (Twin Feeler, animated)",I gamble.A ) Behind
816,Go to 10-14,B ) Front
817,Go to 10-15,C ) Side
818,Go to 10-16,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                10-14鉄板上…背後に気配                                  (Sandy area in Town Center)Chapter 10   ""Town Center""On the steel plate...I sense it from behind"
819,"Page 1 (Twin Feeler, animated)",I listened carefully.I wagered that it is coming from behind.
820,Page 2,I spin around and fire the rifle.It had just appeared there and my first shot went right through its head.
821,Page 3,"It exploded like a piece of fruit exploding, and liquid with a revolting colorand horrible smell began to flow around it.I pursue it as it begins to try and escape back into the ground, firingthe rifle on this deserted floor of the Town Center."
822,Go to 10-20,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                10-15鉄板上…正面に気配                                  (Sandy area in Town Center)Chapter 10   ""Town Center""On the steel plate...I sense it in front of me"
823,Page 1 Twin Feeler (animated),"The front...I hold the rifle low, and aim at the area where I think it will come out withmy finger poised on the trigger."
824,Page 2,I pulled the trigger at the same time I heard it come up out of the ground.However...The bullet just flies through the air.
825,Page 3,"Once I realized this it was already too late.Its giant body was towering over me from behind, with its tusks alreadybrimming with poison, and then that poisonous liquid fell upon my raised arm."
826,Page 4,"Ow...!I immediately turned, aimed at its abdomen, and fired.Luckily the poison liquid only burned my jacket, and did not reach my skin."
827,Page 5,"I pulled the trigger over and over until I ran out of bullets.As its screams echoed, the only that that kept me goingas I was about to pass out was......Cheryl's smiling face in my memories."
828,Go to 10-20,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                10-16鉄板上…側面に気配                                  (Sandy area in Town Center)Chapter 10   ""Town Center""On the steel plate...I sense it at my side"
829,"Page 1 (Twin Feeler, animated)","From the side...I ready the rifle with my right hand.I can quickly attack to the left, but it will take a little time to attackto the right."
830,Page 2,So I wager on the left.I calm my breathing so that I will be able to fire as soon as I see it.
831,Page 3,"However, it...It went against my prediction and appeared behind me....I won't make it in time."
832,Page 4,As soon as I turned around a shower of poisonous liquid sprayed from itsmouth and fell all over my face.
833,Page 5,"""Ugh...!""I cannot even speak.I wipe my face with my hands.This time I felt the pain of burning on the palms of my hands."
834,Page 6,I aimed at it and pulled the trigger over and over.The sounds of an explosion and then a scream repeat over and over. Then agreat tremor shakes the earth and it escapes underground.
835,Page 7,Without resting I stand.Because my intuition tells me that Cheryl is in danger.
836,Go to 10-20,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                10-17推測                                                (Sandy area in Town Center)Chapter 10   ""Town Center""Guessing"
837,"Page 1 (Twin Feeler, animated)",(No text)A ) Behind
838,Go to 10-18,B ) Front
839,Go to 10-19,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                10-18砂地…背後に気配                                    (Sandy area in Town Center)Chapter 10   ""Town Center""Sandy soil...I sense it behind me"
840,"Page 1 (Twin Feeler, animated)",I listened carefully.I wagered that it is coming from behind.
841,Page 2,I spin around and fire the rifle.It had just appeared there and my first shot went right through its head.
842,Page 3,"It exploded like a piece of fruit exploding, and liquid with a revolting colorand horrible smell began to flow around it.I pursue it as it begins to try and escape back into the ground, firingthe rifle on this deserted floor of the Town Center."
843,Go to 10-20,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                10-19砂地…正面に気配                                    (Sandy area in Town Center)Chapter 10   ""Town Center""Sandy soil...I sense it in front of me"
844,Page 1 Twin Feeler (animated),"The front...I hold the rifle low, and aim at the area where I think it will come out withmy finger poised on the trigger."
845,Page 2,I pulled the trigger at the same time I heard it come up out of the ground.However...The bullet just flies through the air.
846,Page 3,"Once I realized this it was already too late.Its giant body was towering over me from behind, with its tusks alreadybrimming with poison, and then that poisonous liquid fell upon my raised arm."
847,Page 4,"Ow...!I immediately turned, aimed at its abdomen, and fired.Luckily the poison liquid only burned my jacket, and did not reach my skin."
848,Page 5,"I pulled the trigger over and over until I ran out of bullets.As its screams echoed, the only that that kept me goingas I was about to pass out was......Cheryl's smiling face in my memories."
849,Go to 10-20,"_______________________________________________________________________________第十章　　「タウンセンター」　                　  　　　　                10-20タウンセンターを後に                                     (Gigastore storefront)Chapter 10   ""Town Center""Leaving the Town Center"
850,Page 1 (Black),I leave the Town Center.
851,Go to 11-1,"_______________________________________________________________________________第十章　　「骨董屋」        　                　  　　　　                10-21揺れる視界                                                       (Antique shop)Chapter 10   ""Antique Shop""Swaying field of vision"
852,"Page 1 (Antique shop, flickering)",..................
853,Page 2,My field of vision is swaying...
854,Page 3,I pressed my back to a wall and steadily slid down until I reached thecold floor.The shadows of several of the items in the room expand and contract asthe light moves.It is as if a great number of spirits are laughing at me.
855,Page 4,"Eventually those shadows pounce on me.The bodiless beings bind my hands and feet, and corner me until I am unableto move."
856,Page 5,I cannot speak.
857,Page 6,"One long shadow extends a tentacle towards my neck.Please stop,I implore."
858,Page 7,"I hold my both of my palms up, but the shadow passes through the areasbetween my fingers and reaches my neck.I try to speak but only a gasp comes out that will not reach Cybil."
859,Page 8,"Finally, activity in my brain begins to stop due to a lack of oxygen.I saw stars in my eyes and then nothing at all. I lost consciousness as ifI were just going to sleep.第十章　「骨董屋」「冷え切った身体」Chapter 10   ""Antique Shop""Frozen body"
860,Page 9,..................
861,Page 10,My body is freezing.Where am I...?I cannot focus my eyes.
862,Page 11,That's right...this is the antique shop...I am sitting on the floor with my back against the cold wall. I must havedozed off for a bit.My fingers are as cold as ice and so I cannot move them normally.
863,Page 12,"While chasing around after Cheryl fatigue must have been building up withoutme realizing it.However, this is no time to be sleeping."
864,Page 13,"Oh, I wonder how Cybil is doing?I look around the room and see that the eerie passage that was hidden behindthe shelf is still open just as it was before."
865,Page 14,"Cybil is still in there.When she comes out I will have a word with her...I hope she is ok.It seems like quite a bit of time has passed.第十章　「骨董屋」「銃弾は残り３発」Chapter 10   ""Antique Shop""Only three bullets remain"
866,Page 15,I heavily stand and check the gun in my pocket. I then stand at the entranceof the completely dark passage.I have only three bullets left.I cannot afford to waste any.
867,Page 16,"My breathing breaks the silence.I get out the gun and hold it near my temple, with it aimed at the stomachof that dark demon, and then I begin to walk forward.I am worried about Cybil's safety, so I am guided forward by my quivering feet."
868,Page 17 (Black),After walking for a bit I sensed light coming from somewhere other than theflashlight on my chest.I leisurely turn off my flashlight and see that something is shining atthe end of the passage.
869,Page 18,"I rush forward.I am running toward the light, not unlike how a small insect would.Something is there.Is Cybil all right?Or will I have to confront a monster again?第十章　「骨董屋」「眩い光」Chapter 10   ""Antique Shop""Dazzling light"
870,"Page 19 (Altar in the other church, flame is burning)",There was a room at the end of the passage.As I enter the room the light is so dazzlingly bright that I have to shieldmy eyes with the back of my hand.
871,Page 20,There is a simple altar on the wall to the right of where I entered the room.A large flame is coming off of a thick candle and green smoke is billowingfrom it.Everything in the room was shaking in the light from that flame.
872,Page 21,"""What...is this place...?""Once my eyes adjusted to the light my line of sight jumped to anunbelievable sight."
873,"Page 22 (Cybil, dead on the floor)","At first, I thought it was just a well made doll.A mannequin with a red shirt on...It was on its back, lying in a pool of red liquid.But...I soon understood what it was."
874,Page 23,Cybil.I softly call to her.Her light green shirt had been stained crimson by the flow of red liquid fromthe back of her neck.
875,Go to 10-22,"_______________________________________________________________________________第十章　　「骨董屋」        　                　  　　　　                10-22屍と化したシビル                                    (Altar in the other church)Chapter 10   ""Antique Shop""Cybil has become a corpse"
876,"Page 1 (Cybil, dead on the floor)",I was completely confused.A ) Rush to Cybil's side.
877,Go to 10-23,B ) Step back and run away.
878,Go to 10-24,"_______________________________________________________________________________第十章　　「骨董屋」        　                　  　　　　                10-23シビルに駆け寄るハリー                              (Altar in the other church)Chapter 10   ""Antique Shop""Harry rushes to Cybil's side"
879,"Page 1 (Cybil, dead on the floor)","""...Cybil....Cybil! Hold on!""I shake her shoulders.But she does not respond."
880,Page 2,"""Why has this happened...!""I cover her dead body.Her cold body."
881,Page 3,Lost in hopelessness I lost consciousness again.
882,Go to 10-25,"_______________________________________________________________________________第十章　　「骨董屋」        　                　  　　　　                10-24後ずさるハリー                                      (Altar in the other church)Chapter 10   ""Antique Shop""Harry steps back"
883,"Page 1 (Cybil, dead on the floor)",Something is in this room...I became frightened and left.
884,Page 2 (Black),"I head back to the passage that I just came through.""Dam...Dammit...!""My flashlight won't turn on.It seems to be broken."
885,Page 3,I continue to run through the darkness.There is no source of light in front of or behind me to tell me which wayI am going.
886,Page 4,"After running for a bit I thought, was it really this far to the antique shop?Even though I am moving I do not feel like I am moving forward."
887,Page 5,I hallucinate that the corpse of Cybil is pulling at my feet and won't letgo...Perhaps I will end up running on this moving floor forever.
888,Page 6,Finally my consciousness grows distant and I fall to the cold hard floorand pass out once again...
889,Go to 10-25,"_______________________________________________________________________________第十章　　「病院」          　                　  　　　　                10-25リサの言葉                                         (Nightmare examination room)Chapter 10   ""Hospital""Lisa's words"
890,Page 1 (Black),...rry? Are you OK?Harry?Harry?..............................Where am I?Harry.Lisa...Then I'm in the hospital.
891,Page 2 (Nightmare examination room) (Lisa appears),"You were having a bad dream.Was I?Hey, you don't look too good.Are you OK?I'm fine.Nothing you need to worry about.Well, if you're sure....."
892,Page 3,Lisa......Do you know a woman named Dahlia Gillespie?
893,Page 4,"Oh yeah, that crazy Gillespie lady.She's kind of famous around here.She never sees anybody, so I don't know that much about her."
894,Page 5,"But I heard her kid died in a fire, and supposedly she's been crazyever since.Well, she says the town is being devoured by the darkness.Do you have any idea what she's talking about?"
895,Page 6,"The town...devoured by the darkness.Yes, I think I do.Before this place was turned into a resort, the townspeople here were onthe quiet side."
896,Page 7,"Everybody followed some kind of queer religion...Weird occult stuff...Black magic, that kind of thing."
897,Page 8,"As young people moved away, the people figured they'd been summoned bythe gods. Evidently, things like that used to happen around here all the time."
898,Page 9,"Before the resort, there wasn't really anything else out here.Everyone was so flipped out. Gotta blame it on something.Then a lot of new people came in and everybody clammed up about it."
899,Page 10 (Lisa looks down),"A cult...Last time I heard anything about it was, gosh, years ago...When several people connected with developing the town died in accidents.People said it was a curse."
900,Page 11,"Oh, I'm sorry. I'm rambling...I'll shut up................................No...it's all right."
901,Page 12,"Hey, Harry.What happened...to your hand...?Oh, this...I just hurt it a little bit."
902,Page 13,Is it OK?Yeah...just a scratch...Nothing major...Even if it is just a scratch there is a lot of blood...If we don't look after it soon...
903,Page 14,It's OK...Please don't touch it....Why are you so angry?...Sorry....But this does not concern you....I don't want to get you mixed up in this...
904,Page 15,"...I'm sorry...第十章　「骨董屋」「リサの言葉」Chapter 10   ""Antique Shop""Lisa's words"
905,Page 16 (Black),"The reverberation of Lisa's ""I'm sorry"" remained in my ears.I wonder how long had I been asleep? I found myself in that antique shopagain, lying face down in the same position I was in just a short while ago."
906,Page 17 (Antique shop),"Was that another dream?Did I pass out again?I don't want to think so, but maybe this is all just going on in my head."
907,Page 18,"I could have had a car accident, and now I'm lying unconscious in a hospitalbed...I don't know what's real anymore..."
908,Page 19,"Cybil's body has vanished.She is gone, almost as if she was absorbed into the concrete floor."
909,Page 20,Maybe Cybil never came here in the first place?Just what did I see...A hallucination? A delusion?
910,Page 21,I want to talk to Lisa.She knows something.She is holding some secret.I will go to see her.
911,Page 22,Keeping one hand on the wall to support myself I stumble out of the antiqueshop.
912,Go to 11-15,"_______________________________________________________________________________第十一章　　「再び病院」          　            　    　　                 11-1リサとの再開                                       (Nightmare examination room)Chapter 11   ""Hospital, Again""A reunion with Lisa"
913,Page 1 (Close up of metal grating floor),"Perhaps the caterpillar from before was blocking my path to the hospital, asmy route, which had been blocked until just before, was now restored."
914,Page 2,The entire town seemed like the insides of an enormous living thing.If a part of it is treated...then a part of it is destroyed.If a part of it disappears...then a part of it appears.I get the feeling that I am wandering about within a living organism thathas become a labyrinth.
915,Page 3 (Nightmare examination room),"I open the gate to the hospital and then energetically open the doorof the examination room.Inside Lisa was waiting for me.第十一章　「再び病院」「駆け寄ってくるリサ」Chapter 11   ""Hospital, Again""Lisa rushes to Harry"
916,Page 4 (Lisa appears),"""Harry!""She changes from looking completely exhausted and rushes over to me in aninnocent, childlike way."
917,Page 5,"""Glad you're OK.""""Thank God you came back.I was scared to be here all alone.""""I'm here now. I was worried, too.I'm real happy to see you."""
918,Page 6,I lightly hug Lisa and gently draw away. I then speak while looking intoher eyes.
919,Page 7,"""Lisa, can you tell me how to get to the lake?""""The lake? You take Bachman Road.""""The road's blocked.""I recall what Cybil told me."
920,Page 8,"""Well, that's the only way out there.""""Are you sure?There's gotta be another way.""Lisa places her hand on her chin and thinks for a bit. Then her eyes openwide as if she has realized something."
921,Page 9,"""Wait, I just remembered something.""""What?"""
922,Page 10,"""There's a water works over by my old elementary school.It's been abandoned for years.There's an underground tunnel out there used for inspections, or something!I remember hearing it runs all the way to the lake!"""
923,Page 11,"""Really?! You think I can get to the lake from there?""""I've never been down in there myself, so I'm not positive.Besides, it's all fenced off to keep people out."""
924,Page 13,"""If there's a chance, I've got to try.""Lisa embraces me again just as I think that her face is beginning to looktearful."
925,Page 14,"""Harry, don't go!I don't want to be alone.It's so scary I can't stand it."""
926,Page 15,"This one room in an empty hospital.In this state in which monsters could kick in the door and enter at any time,she has no weapons with which to defend herself with.So her being gripped with fear is only natural."
927,Go to 11-2,"_______________________________________________________________________________第十一章　　「再び病院」          　            　    　　                 11-2行かないで、とリサ                                 (Nightmare examination room)Chapter 11   ""Hospital, Again""Lisa says ""Don't go"""
928,Page 1 (Nightmare examination room) (Lisa appears),What should I do?A ) Take Lisa with me.
929,Go to 11-3,B ) Leave Lisa here.
930,Go to 11-4,"_______________________________________________________________________________第十一章　　「再び病院」          　            　    　　                 11-3一緒に行こう、とハリー                             (Nightmare examination room)Chapter 11   ""Hospital, Again""Harry says ""Come with me"""
931,Page 1 (Nightmare examination room) (Lisa appears),"I speak.""How about coming with me?This may not be the safest place in the world either. I can't promise youanything, but I'll do my best to protect you."""
932,Page 2 (Lisa looks down),"""No...somehow I feel I'm not supposed to leave this place.Oh, Harry, I'm so scared...I'm cold."""
933,Page 3,"I waver. Is it ok for me to leave Lisa alone...But then, what will happen to Cheryl?Cheryl has only me to depend on.My concern for Cheryl cannot be compared with my concern for Lisa.After all...she is my daughter."
934,Page 4,"""Look, just wait here a little longer.I'll be back as soon as I find my daughter.""Perhaps those words rang cold for Lisa.But there is nothing that can be done.I must save my daughter.""Harry..."""
935,Go to 11-5,"_______________________________________________________________________________第十一章　　「再び病院」          　            　    　　                 11-4無理だ、とハリー                                   (Nightmare examination room)Chapter 11   ""Hospital, Again""Harry says ""I can't"""
936,Page 1 (Nightmare examination room) (Lisa appears),"I waver. Is it ok for me to leave Lisa alone...But then, what will happen to Cheryl?Cheryl has only me to depend on.My concern for Cheryl cannot be compared with my concern for Lisa.And no matter what she is my daughter."
937,Page 2,"""Look, just wait here a little longer.I'll be back as soon as I find my daughter.""Perhaps those words rang cold for Lisa.But there is nothing that can be done.I must save my daughter.""Harry......"""
938,Go to 11-5,"_______________________________________________________________________________第十一章　　「ビル給水塔」        　            　    　　                 11-5成虫と化した化け物                            (Close up of metal grating floor)Chapter 11   ""The Water Tower on the Building""The matured monster"
939,Page 1 (Close up of metal grating floor),I leave the hospital.The water supply installation near the elementary school...I was told that I could go through those sewers and reach the lake that Cherylwas heading toward.I must hurry.
940,Page 2,"As I began to run I felt something fly over my head.It looks like something is flying in circles in the sky above me, but itis dark so I cannot see it so well.I climb the metal stairs of the building across the street, and then head upto the roof."
941,Page 3 (Close up of Float Stinger),"""What...what is this...?""A giant moth...I guess I didn't completely kill it. That caterpillar that I shot at theTown Center has followed me here."
942,"Page 4 (Float Stinger, animated)","And it has matured. It dances against the black sky and is looking down on me.In addition to the poison that it can discharge from its mouth, it now hasa stinger with which to stick me with."
943,Go to 11-6,"_______________________________________________________________________________第十一章　　「ビル給水塔」        　            　    　　                 11-6ここで息の根を…                              (Close up of metal grating floor)Chapter 11   ""The Water Tower on the Building""I must kill it here..."
944,"Page 1 (Float Stinger, animated)",I'm in danger...!A ) Fire the rifle while avoiding it.
945,Go to 11-7,B ) Hide in the shadows of the buildings.
946,Go to 11-8,"_______________________________________________________________________________第十一章　　「ビル給水塔」        　            　    　　                 11-7避けつつライフルを撃つ                        (Close up of metal grating floor)Chapter 11   ""The Water Tower on the Building""Firing the rifle while avoiding it"
947,"Page 1 (Float Stinger, animated)","I fire the rifle.However, it is adept in the air and evades my aim, leaving the bullet to hitonly air before being swallowed by the darkness."
948,Go to 11-9,"_______________________________________________________________________________第十一章　　「ビル給水塔」        　            　    　　                 11-8給水塔の陰に隠れる                            (Close up of metal grating floor)Chapter 11   ""The Water Tower on the Building""Hiding behind the water tower"
949,"Page 1 (Float Stinger, animated)","I hid behind the water tower, and from the slight opening I observed thegigantic monster."
950,Page 2,A monster that circles the sky in attempt to catch me.Using the water tower as a shield I study its movements and at the same timelook for a vital point.
951,Page 3,"Its head, with those poisonous tusks...Its abdomen, which contains a large amount of poisonous liquid...Its wings, which it can freely control..."
952,Go to 11-9,"_______________________________________________________________________________第十一章　　「ビル給水塔」        　            　    　　                 11-9落ち着け…                                    (Close up of metal grating floor)Chapter 11   ""The Water Tower on the Building""Calming down..."
953,"Page 1 (Float Stinger, animated)","""Calm down"", I told myself."
954,Go to 11-10,"_______________________________________________________________________________第十一章　　「ビル給水塔」        　            　    　　                11-10見当たらぬ弱点                                (Close up of metal grating floor)Chapter 11   ""The Water Tower on the Building""The unseen weak point"
955,"Page 1 (Float Stinger, animated)",I must focus on only one target.A ) Abdomen
956,Go to 11-11,B ) Wings
957,Go to 11-12,C ) Head
958,Go to 11-13,"_______________________________________________________________________________第十一章　　「ビル給水塔」        　            　    　　                11-11狙いは腹部                                    (Close up of metal grating floor)Chapter 11   ""The Water Tower on the Building""The target is its abdomen"
959,"Page 1 (Float Stinger, animated)","While dodging it, I point barrel of the gun at the soft area below its chest.It adeptly uses it large wings to pursue me, but eventually its strengthruns out and it falls between two buildings."
960,Page 2,"Green liquid leaks from its insides, and its screams echo throughout the town."
961,Go to 11-14,"_______________________________________________________________________________第十一章　　「ビル給水塔」        　            　    　　                11-12狙いは翼                                      (Close up of metal grating floor)Chapter 11   ""The Water Tower on the Building""The target is its wings"
962,"Page 1 (Float Stinger, animated)",I aim at its wings. It wings are so large that even if I did blow a hole inone that it would not make much of a difference.
963,Page 2,The base of its wings...If I destroy the joint at the base of its wings then they will no longerfunction.I adjust my aim.
964,Page 3,"However, aiming at such a small area is quite difficult for an amateurlike me.Besides, my opponent can freely fly in the sky, which makes me think thatthe shot is near impossible."
965,Page 4,"While dodging it, I point barrel of the gun at the soft area below its chest.It adeptly uses it large wings to pursue me, but eventually its strengthruns out and it falls between two buildings."
966,Page 5,"Green liquid leaks from its insides, and its screams echo throughout the town."
967,Go to 11-14,"_______________________________________________________________________________第十一章　　「ビル給水塔」        　            　    　　                11-13狙いは頭部                                    (Close up of metal grating floor)Chapter 11   ""The Water Tower on the Building""The target is its head"
968,"Page 1 (Float Stinger, animated)",I aim at its head.I rest the heavy rifle on my shoulder and while being careful not to let anysweat get in my eyes I place my finger on the trigger.
969,Page 2,Like many creatures this monster has a brain.That is what I will shoot and destroy.But my target is quiet narrow and small.
970,Page 3,"The sound of my first shot reverberates into the night.But the bullet just grazes its head and disappears off into the darkness.""Damn...!"""
971,Page 4,"But I do not give up.I must get closer to my opponent....But, if I draw it in then I must be ready.As doing so would be accompanied by danger."
972,Page 5,"I avoid a shower of poison.Fortunately the wind has begun to blow.To adjust its wings to the wind takes all of its strength, and it appearsto be having a difficult time attacking me."
973,Page 6,This is my chance.I once again steady my aim.And then I pull the trigger twice in a row.
974,Page 7,In that moment its head vanished from its body all at once.Without its control tower those wings and poison tusks were just that andthey fell like a rag between the buildings.
